,toxic,non-toxic
189959,"""if Vierna won and I did not help, she would kill me,"" he said quietly.","""Vierna would have killed me if she had won and I had not come to her aid,"" he explained calmly."
235131,"black Tom, you can't be dead.","Brown Tom, you can’t be dead."
562386,Bury her secrets with her bodies.,bury her secret with the bodies.
186145,"If you fucking know his name, you better --",I'm not trying... if you know his name...
112697,"""this is how I want to punch Thomas Pierce!",“I want to put the hurt on Thomas Pierce!
265259,you sound like a paranoid.,You sound a little paranoid.
73313,I don't want to fucking hear it.,I don't want to hear anything.
62503,He was quite a Renaissance rat.,he was a Renaissance man.
196206,I'm sick of this shit!,I'm so sick of this!
119973,and guess who the fool was.,And guess who was the freak.
447753,"it's just a dumb guess, but isn't something bothering you?","This is just a wild guess, but is something bothering you?"
206379,That's a pagan god that's associated with Satanism and black magic. That thing's got boobs.,it's a pagan god associated with satanism and black magic.
103300,Shut that dog up.,keep the dog quiet.
49875,"your inability to follow my comments has something to do with your mental incompetence, and it has nothing to do with my research or my comments... or something like this... Don't upset me!",Your inabilities to follow my notes have everything to do with your mental capacity and nothing to do with my research or my notes or anything like... don't interrupt me!
327992,how can we kill them?,How do we put them down?
236118,you can be one of those terrorists!,You might be with the terrorists!
376559,"“Your party doesn’t answer,” the operator told him, just in case he was deaf or had maybe forgotten what he was doing for a few seconds and had been holding the phone against his asshole instead of his ear.","""an unanswered number does not match,"" he told the operator in case he was deaf, or for a few seconds he forgot what he was doing, and instead of holding the phone to his ear, he stuffed it somewhere."
29947,And I didn't give Shit One.,and I didn't really care.
345292,"Well, it's an interesting combination... ...of elements, making him a tough little son of a bitch.","it's an interesting combination of elements, so it's a pretty resilient beast."
80404,"during the documentary, I never planned to break the damn thing.","Whilst I was shooting the documentary, I never planned on crashing the bloody car.honestly"
340550,My son will notice what you truly are: a whore.,my son will eventually see what you're really like: A run.
564620,"You calling me a thief, too? Damn.",you think I'm a thief too?
117141,"'everyone is still looking, damn, you can't even carry them now, we can make them sing, so keep an eye out.","""...everyone's always looking oh no... You can't even make them rock intime now... Butwe can makethemsing so watch out..."
539721,Let Nevada handle it. This guy's nuts.,let them handle this guy.
440136,Your bitch... Can't protect them in here.,you can't protect them from here.
471939,"Kataoka, I'm getting too old for this shit.","I'm too old for this, Kataoka."
378151,he lied to me and punched me in the face.,He lied and denied it to my face.
425755,"You call Hopkins back and tell 'em what you want, and then get Hunt's ass down here and give him the same demands.","call Hopkins, tell them what you want, and then keep Hunt and give him the same request."
323457,"'Uh - Damn it, I didn't make myself clear.","""oh, hell, I wasn't clear."
433576,It was short and fat and black.,"she was short, strong and black."
24764,The shot wouldn't have to kill anyone anymore.,the dose would no longer kill anyone.
240094,what the hell are you doing?,What's the matter with you?
216847,"as soon as those girls cross the stage tomorrow, they're gonna be fucking lab rats for us.","The moment those two girls walk across the stage tomorrow, They'll become lab-rats for the rest of their lives."
175352,"but if it doesn't matter, spare me the bullshit.","But if it's all the same, spare me the sales pitch."
356970,"and here it is again on the door of Beneventsky Cathedral, this time with his insides thrown out.",Here he is again on the doors of the Benevento Cathedral... this time with his bowels falling out.
93517,"It's a fucking gun, Ryan.","that's a gun, Ryan."
252308,"You get your psychos now and then, animal slaughter... ...ritual human disembowelment,but that's really pretty rare.","occasionally we have a nutcase over animal victims...... and ritual autopsies, but they rarely do."
485789,"You liar, thought Louis.","the lieutenants, Louis thought."
529830,"All believed if the Rangers didn't have the helicopters helping them from above, he and his men would surround and kill them with ease, with their bare hands.","Ali believed that if Rangers had not had from top to helicopter assistance, he and his men would have easily surrounded them and beaten, with their bare hands."
15803,"The only good thing I can say about our one offensive weapon is... ...it's ""wiry."" What the shit is that?",and the only thing I can say about our attacking weapon is that he's a tough guy.
290365,Not waste my life... partying with you losers.,I don't want to waste my life on you.
97859,"'Don't be daft, man,' said Ridcully.","'don't be crazy, man, 'said Ridcully."
104578,"'Shit, I can't believe it. '",I can't believe it.
314955,No one else listens to that crap!,no one's listening anymore!
279814,that's two years of life fucked up!,That's two years of your life wasted!
397877,you're a mess.,You're making a mess.
2807,my career is going to shit.,My career is falling apart.
263826,Save your ass.,save yourself.
6091,A box of my old shit.,with a box of my old things
122188,"Cops show up on my doorstep, we will know who sent them... ...and we will fucking find you.","if the cops come, I'll know who sent them, and I'll find you."
381906,"Heathcliff, if I were you, I'd stretch myself over Cathy's grave and die like a dog!","Heathcliff, if I were you, I would lie down on Cathy's grave and walk like a dog!"
143382,"translate this whole thing, and you've got a pack of fags in my pocket.",Translate all of this for me... ...and I'll buy you a pack of smokes.
351117,your mom is an old woman!,Your mother - grandmother.
221952,"Yep. Can't work, can't wank.","yeah, I can't work, I can't chase."
396850,"screw it, Eff.","Bugger it, Eff."
190307,"what else do you want, fatass?","What else do you want me to do, Fatty?"
16049,"Whatever that fucking thing is, it could be nearby.","whatever the hell that thing is, he may be close."
102001,"If they split up, he gets to keep her boob job.","if they split up, she'd keep her chest plastered."
117341,"Tomorrow, I'm gonna see if I can't have sex with something.",and tomorrow I'll see if there's anything I can do.
226691,"She held out a hand for Norman to slap, and Norman wondered — just for a moment — how fast that stupid little I-brake-for-cripples smirk would disappear from her face if he bit off a couple of her fingers instead of giving her the low five she was expecting.","she reached out to Norman's hand for a friendly slap, and Norman considered - for only a moment - what it would be like instead of expecting a slap for an answer, he had bitten off a few fingers."
9506,She fucking has Demerol?,did she have Demerol?
196412,"I'm sorry, but it was so ridiculous that you two were gonna get so excited about the dead chicken.","(Janet Laughing) Forgive me, but it just seemed very funny, you two being so intense about an old, dead chicken."
32034,You think you're hot shit.,you think you're a bad guy.
150003,"Ah, my nipples!","ah, my cic!"
115643,"Boy,I'll bet Ellen Page's friends aren't giving her this kind of crap. 我敢打赌 Ellen Page的朋友们可不会说这些废话","man, I don't think Ellen Page's friends are giving her a soda."
238306,I have to dye my hair today to keep you out of the garbage dump.,I have to dye my hair already to keep my job as a dustman.
29271,death by drowning is very nice.,I hear drowning's a really beautiful way to die.
462501,She talks to dolls like a crazy person.,"he's talking to dolls like crazy, you know."
263185,"Excuse me, can you throw that in another pile or something, 'cause it keeps getting in my hole. Shut up!","I'm sorry, but you can throw it in a different pile or it's gonna fall into my hole."
430136,stop fucking around and don't make any fucking noise!,"Be going to there stand, and does not make still a squeak sound!"
148175,you can slap yourself later.,You can beat yourself up about it later.
525020,You're shitting me. Bobby.,you're kidding me.
512129,"according to my wife, he's fucking real.",According to my wife it's pretty real.
530314,"what were you thinking about using such a simpleton? """,What possessed you to use such simpletons?'
11664,six balls.,Six marbles
426265,He's a nice crackhead.,he's a nice junkie.
406186,Your mother kicked the bucket...,your mother put on slippers...
6229,"how do you keep your head from this bitch, and you'll stick with her in the books, you'll have a lab you've always talked about.","Ifyou took your head off these ho's and put it in some books, you'd have that lab you always talked about."
66085,"Ooh, well, too bad you're crazy married.",it's a shame you're so married.
66683,Russ: All girls are skanks here?,all the girls here?
418722,"hey, ugly mama, run for the whales.","""Hey funky mama, save those whales"
505143,"Go the fuck home, man.","go home, man."
426496,So we know he's smart and superb at masturbation.,so we know he's intelligent and insurmountable in the onnia.
15871,"cut your throat, that's a little obvious, it's not a cipher!","Ripping a throat out, it's a strong visual. It's not cryptic."
432616,"enough garbage per year to cover San Francisco,","Enough waste per year to cover all of San Francisco,"
99298,or die.,Maybe dead.
229640,fuck!,Bollocks!
429902,What you need is a good faggot.,you need a good juggernaut.
466024,"after today's stupid morning, my patience is running out.",I've had a hell of a morning and my patience is running pretty thin.
33214,"watch her period, or else you'll be buying fucking diapers.","You keep track of her period, or else you'll be shopping for nappies."
42699,"after a hot shower, it makes me a pussy.","After a hot shower, I'm a frisky kitty."
532737,"""It's a double helping of hell with extra devils.","""it's a double dose of hell with some extra devil."
449575,Piss over me,pee on me
24245,"Damn, kid, put it in your pocket.","oh, boy, put this in your pocket."
486430,"We aren't vampire kids, we're freaking goth!","we're not vampires, they're goalies."
83138,panties.,Her panties.
222328,let's go back to your dead roommate.,Let's just circle back to your murdered roommate.
462630,"Shut up, son.","be quiet, son."
427730,you're crazy.,You are delirious.
360549,You made a goofy face.,you made faces!
325429,"shit, we got company.",We got company.
521203,I hit them.,I beat them.
66189,"Fargo, tell him why he's crazy.","Fargo, tell him why."
134753,"Get me a bag, fuck! Quick!",give me the bag!
480541,Very ugly.”,"very ugly stuff. """
371463,We're a team. We've come this far and we won't let stupid cops piss in our corn flakes.,we pull together and we don't let the cops touch us.
449302,"Hey, if I was you, I'd give up this Nazi bullshit, go back to poaching gators... safer.","if I were you, I'd ditch the Nazi stuff and come back to...... the gator larder... it's safer."
425441,"you know how stupid it is that you put Annie in the ground just to force Ben Mercer to show up, but now you've got her personal spy?","You know, it's bad enough you put Annie in the field to draw out Ben Mercer. But now, you have someone spying on her?"
360643,"and Magda, with her beautiful hair and her big breasts.","And Magda, with her nice hair and her big bosoms, a carthorse."
213389,"""shit!"" He whispered.",'Holy crow!' he whispered.
252537,we die.,We're dying.
255386,the little Martian sat calmly on his butt while the downers waved for further action in the corner.,"The little Martian was sitting on his haunches taking life easily while the scientists stood conversing in a corner, trying to decide what to do next."
264870,"Someone could shoot him from the rooftop, Jago said.",Jago claimed anyone could have shot him off the roof.
118222,I have a kick-ass mom.,I have a cool mom.
199058,"I will eventually subdue you, Cecilia Algotsdotter.","I will tame you once, Cecilie Algotsdotter."
504177,I think those aminos are going to your head.,I'd say you got these amines in your head.
24928,Shut up for a minute!,be quiet for a second!
121949,Training to begin ASAP. - Shit.,training will begin shortly.
326057,"shit, they're shells.",Those are shell casings.
574680,the two kids who found him had to kill each other.,The two kids who found it were forced to murder each other.
504208,disgusting.,Sickening.
299876,My husband called me a hag.,my husband told me I was a witch.
204920,they cut the damn rations!,They cut the bloody rations!
426154,And I'm sorry you're a douchebag.,I'm sorry you're a bad guy.
152860,"The old woman was a dried husk, and her face had withered into a maze of lines and furrows.","the old woman was limping, her face wrinkled in a labyrinth of wrinkles and diaphragm."
141953,"he may have died, he may have killed himself.","She may be deceased, she may be missing, he may have killed her himself."
345358,he speaks only in gypsies!,He only speaks gypsy!
349563,He screwed my ex-wife... ...with the sole purpose... ...of making this investigation seem like a personal vendetta.,he's dealt with my ex-wife...... for the purpose of compromising this investigation under a guise of personal payoffs.
118155,"you can have a wedding like that, son of a bitch.",You can have a wedding like this when you will marry in a showbiz..
300962,Or either of her other two elitist-bastard husbands.”,"or any of the other two other elitist sons of husbands. """
354191,he's going crazy for Iran.,They're going crazy about Iran now.
224634,millions of neomorphs are already stupidly frightened by breakneck stories.,Millions of neomorphs are already scared silly by the secession talk.
5816,"So we gotta be aware of what we show, stop giving them grays a reason to hate our ass.","so we better watch out what we're showing them, so stop giving them a reason to hate us."
482687,I don't know a damn thing to do.,I don't know what to do.
135641,"No phone number, just an address. Holy shit!","no phone number, just an address."
282987,your hair is nasty.,...your hair looks awful.
359821,Fucking great.,bloody good.
313128,By putting him inside that psychopath?,by putting him in a psychopath?
20099,he's like my damned one. - He seems like I can't get rid of either of them.. .',"It's like this cursed life of mine—I can't seem to get rid of either . . ."""
495772,"If you're a hobo, you go down to the fucking wall street and wait around until about 5:01 P.M.","if you're a bum, you go down to Wall Street and wait for something around 17: 01 a.m."
576353,Let's go get his ass.,let's grab him.
330689,"He reminds me of my leasr favourire peoples, my renanr and my ex-husband, God damn, bless his soul.","he reminds me of my most unpopular people, my tenants and my ex-husband."
531112,"Actually, no. Fuck off.","no, not really."
407329,but you were so hot when you were drenched in the rain...... and I had an insane urge to throw you out for a month...... and commit interplanetary perverse intercourse with you.,You were soaking wet from the rain and I had a mad impulse to throw you down on the lunar surface and commit interstellar perversion with you.
275735,because one day you'll wake up and be dead.,On one day you wake up and you're dead.
436103,but the rats are even worse than pigs in terms of eating interest.,"But rats are even worse than hogs, on food crops."
212197,now it's gonna destroy sex!,Sex now will ruin it.
16295,run him.,Take him.
341497,"hey, fool, didn't you say you got a speedboat?","Hey, Ringo, didn't you say something about a ""lovely speedboat""?"
497432,I'm not sure a vagina would be any kind of improvement for you.,I'm not sure there would be any improvement for you.
161197,"it's all a terrible mistake, fatass.","Well, Bill... - It's a terrible, terrible mistake, chubs..."
46229,suppose he's useless?,Suppose he is a good-for-nothing?
71467,Get off me!,let go of me!
562551,"if this woman doesn't bring them, Molly's gonna die, okay?","If that psychic lady does not bring it here, Molly is dead, OK?"
349856,You were with me when I stole the damn thing.,you were there with me when I stole it.
114187,pig Wiggrubber!,The Piggly Wiggums!
417207,I don't avoid lesbians at all.,I'm not avoiding them.
205928,"Confused... Stupid, and... In pain.",I feel dizzy... and... it hurts.
198656,"Get my money ready, nigger.","get your money, bro."
253556,I guarantee you the shithouse will.,I guarantee he'll do it.
160077,he's the hooker and I'm the hunter.,He's the bounty and I'm the hunter.
6587,why did you bring these balls? I didn't count. - I wanted to release some air. - while you're releasing all that air... you're supposed to tell me why you were sitting on the street this morning.,I don't count. –I wanted to let out some air. –While you're letting out all that air… suppose you tell me why you were sitting in the street this morning.
416373,I asked her what it was like to have sex with a woman.,I asked her what it was like to make love to a woman.
46558,"So, yeah, I know what the fuck that means.","so, yes, I know what that means."
44867,you won't burn the bullet without him.,You can't fire the missile without him.
142325,Having sex on a mountain top or dressed all in leather?,you make love at the top of a mountain or an outfit in your skin.
447514,Wicked waste.,what a waste.
434733,"you and Bob Harris, drug lords.","You and Bob Harris, drugs baron."
326916,you got me so dirty.,You get me all messy.
349638,Shut up Sid!,"stop, Sid!"
236633,Those girls in the can really suffocated.,those girls in the container really suffocated.
257257,the leeches of society.,You leech on society.
270801,I tried and he damn near killed me.,"I told him, but he nearly killed me."
339036,get them out of the country and throw them in!,Pick them up and put them over there.
309884,How pathetic is that?,isn't that sad?
24248,Now fuck off out of my life.,now get out of my life.
32239,I want some bullets.,Me want some cartridge.
72667,Get the fuck out of here.,get out of here.
252535,"Damned to swim the air and earth, but never the water, until the Llano sets him free of his guilt.""","he is doomed to sail through the air and lands, but he will never swim with water until the Llano likes him. """
320660,Do I have to do every goddamn thing myself?,do I have to do this myself?
68932,Is it love or sex that fucks us up?,"whether it's love or sex, what's destroying us?"
9857,Plus you can't force a crazy jerk-off story.,plus you can't enforce a crazy chase story.
218494,"And girls, if you want to get that lovely tattoo of the sunrise rising out of your ass crack-- gorgeous when you're 20, but when you're 50","and girls, if you want this beautiful Sun tattoo based on your groove between the half..."
127062,"but don't try to kidnap me, because my uncle is an assassin, and he would have killed you.",But don't try and like kidnap me or anything... 'cause my step-uncle's a bounty hunter and he could have you tracked and killed.
450231,"Damn it, Skinny.","well, Skinny."
221510,You're a sabra. Your wife and daughter are sabras.,"you Sabre, your wife and daughter Sabre."
85837,Comeback Kid Fucking good energetic hardcore.,comeback Kid Zasbly good energetic hardcore.
422653,Get off her! - Get off me!,leave her alone - Leave me alone!
255941,"True or not, Eddie, when a man wets his end in Nebraska pussy his life is changed forever.","is it true or not, Eddie, that if a guy takes a girl out of Nebraska, his life will change forever?"
361098,"Ugh, God, I don't wanna hear about all the whores he cheated on Roxanne with.","oh, God, I don't want to hear about all the girls Roxanne cheated on."
550099,"Our boys are there fighting for all that's sovereign, and here, we've got these dirty scroungers.",our boys are out there fighting for our sovereignty...... and evict all strangers back home.
477038,This sick fuck is gonna wish he never set foot in my town.,he's gonna wish he'd never set foot in my town.
230470,we screwed up.,We messed up.
173382,"Rock is cock, and your rock is dying.",and your rock is dying.
166913,our friends in R.I.C.want to shoot me.,Our friends in the Royal lrish Constabulary want to shut me up.
40135,You're the spitting image of your mother.,it's like you dropped your mother out of your eye.
471997,Do you believe any of that crap that guy said back there?,do you believe anything that guy said?
368869,"Well, fucking now I have you.","right, now I have you."
516566,it's all for one lousy cunt.,All this for a lousy lay.
271593,It's a veritable dream team of killers.,he's a real killer dream team.
151971,"""Shoot.""","""go on."""
571575,In the eyes of God. Bullshit.,in the eyes of God...
73002,"But Lockhart's disgusting cheeriness, his hints that he had always thought Hagrid was no good, his confidence that the whole business was now at an end, irritated Harry so much that he yearned to throw Gadding with Ghouls right in Lockhart's stupid face.","Lockhart's sickening stutter, his suggestion that he had always thought Hagrid could not be trusted, and his belief that the whole thing was over, but Harry was irritated enough that he wanted to throw his Génia and ghouls directly into the blunt face."
26429,"""Well. . . damn it, no, of course not.","""well... Hell, no, of course not."
4148,"""Why should I do anything for you after the way you spoilt my life and why and why and why and what care I down here for any of your stupid problems you mean little piddling fool, it lasts for ever being down here, you hear, for ever and my sorrow too–""","""why do I have to do anything for you if you've ruined my life and why and why and why I should be here downstairs to take care of the problems of you living when I'm destined to stay down here forever, with my grief -"""
438013,You're gonna learn the goddamn rules if I have to beat them into you myself.,"you're going to learn the rules, even if I have to beat them."
546040,Kill Bernard Marx. Bernard Marx is a monster.,Bernard MARX ABOUT BERNARD MARX BERNARD MARX...
143577,"Your mother knows, fuck!",I know your mom.
189874,don't you get tired of this little bullshit?,Aren't you getting tired of these little chats?
239195,God damn!,"oh, God."
357210,"Fuck, you don't like it?","you don't like something, punk?"
529218,"None of your goddamn business, Caesar.","it's none of your business, Caesar."
219470,C) must occupy between 2% and 5% of the weight of the pussy.,(c) be between 2 % and 5 % by weight for kunserva .
469397,What the fuck is she talking about?,what's he talking about?
388174,"if I didn't, your brain would be dead right now.","If I hadn't, your mind would be lost."
466573,"Lucky fuck! Hey, Tyrell. You pull infirmary duty this week?","Tyrell, you serve in the hospital this week?"
492476,I'll shoot your car in the garage here.,we'll park your car in the garage.
452824,"women are capricious, you know.","Women are mercurial, man."
198520,"shit, leave him alone.","For God's sake, leave him alone."
157866,Sometimes I can yank them out before the muffin monster chews them to shit.,sometimes I can pull them out before Ofang eats them.
343036,You're such a damn idealist!,you're such an idealist!
34821,You sucked Taggert in 'cause you needed someone on the inside for the kidnapping.,you dragged Taggert into this for kidnapping someone in there.
443689,It's actually amazing how much he hates your guts.,it's actually amazing how much she hates your courage.
191248,he smells worse than he does.,Smells worse than he do.
6168,"You call me ""boss"" one more time, I'll slap you myself.","you tell me again ""boss"" and I'll cut one for you."
246173,"Shit, I don't know how I feel about being so middle of the road.","hell, I don't know how I feel about such a middle road."
160348,me and you against assholes.,You and me against the pricks.
577594,"I took the weapon by the barrel, spread it, and struck the Martian heavy with a heavy metal butt.","I grasped its barrel, reached upward and struck with its heavy metal butt."
228349,It's junk code.,it's a pointless code.
247724,"Suck it, peach.","you got it, peach."
308811,"Hey, any balls down there ?",is there a ball down there?
430362,"the fool, who refused, went unchecked and binged to sleep.","The guy who refused to dig up, went sparkless and smokeless to bed."
501654,You have to behave almost like a... like a parasite.,you'd have to act almost like an alien.
276356,No dog ever gave me a blow job!,no dog ever smoked it!
228082,Maybe we could rub Derek's legs together.,we could rub Derek's feet.
460219,Damn it. Demons.,the demons.
81459,now he's probably useless.,It's probably ruined now.
344430,"Shut up! Four, five... six, seven, eight...","four, five... six, seven, eight..."
515764,You two are going to freeze your butts off out here.,"you'll freeze up there, you two."
527424,"Her pain, her rage, turning my brain into silly putty.",her pain and her fury made my mind a muddy burden.
360157,You know what a line of shit he has.,you know what he's capable of.
381352,Shut up! I thought we were gonna die but we didn't.,"I thought we were going to die, but we didn't die."
313545,This stupid and futile war killed him.,it was killed by this simple and futile war.
563579,"prophetic, as it turned out.","Prescient, as it turned out."
376541,"But then, women have more chemicals in their tear ducts.","on the other hand, women have more different hormones in their bodies."
126266,"If he stays alive, Caesar will fuck us all.","if he stays alive, Caesar will show us all."
576695,The man from the moon' but you've killed him already.,"a man from the moon, but you just killed him."
12858,Where were you? Whore!,where have you been?
326801,Was there anyone else she could have been having sex with?,and wasn't there someone else she was sleeping with?
270127,"I wanted to break his back, which is a little rude...","Let me finish. ♪ I tried to crack his back, that is kind of rude ♪"
219201,"The US can be errantly liked to a powerfully-built... ...but retarded child, potentially dangerous... ...but young, immature and easily manipulated.","the US may be erroneously regarded as a strong but backward child, potentially dangerous, young and easily manipulated."
94281,"Not until you beat me in a fight, you pathetic washout.","only when you defeat me in a duel, one."
61176,"One bed, four bitches?","one bed, four girls?"
343263,"You can't let her loose in the house, or she'll rip everything to shit.",you can't let her run around the house or tear everything apart.
104748,What the fuck is this?,what is this?
361757,"Frank's wife, Jessie, was a maniac.","Frank's wife,jessie,was a manic-depressive."
278672,two black men stole a biedermeier's chest.,Two brothers walked off with a Biedermeyer chest.
457941,'are you crazy? 'Sephrenia exclaimed.,"""Are you mad?' Sephrenia exclaimed."
404211,he's raping horses.,He's a horse raper.
128456,Fucking 20 Gs.,20 grand.
535994,"Yo, my sister said she saw some fucker in a suit down there just chillin'.",my sister said she saw some guy in his jacket.
187595,my half-sister who seems to have died by a crazy mother.,"She's my half-sister, whose meth head mother apparently died."
86228,"I understand why you'd be curious about your biological father, but in my experience, he is a snake.","I understand you're curious about your biological father, but from my own experience, I have to tell you, it's a snake."
369912,To breathe air that does not smell of shit and vomit makes him feel euphoric and invulnerable.,"from being able to breathe air that doesn't smell hovers and vomit is in euphoria, he feels invulnerable."
249964,What's crap?,what's wrong?
568627,He didn't pay shit but I could think of worse ways to spend the day.,"he'll never pay me, but I know about the worse ways to spend the day."
138921,"when someone comes to my yard and kills a girl, I'm going to put myself in it.","Somebody comes into my backyard and kills a girl, I get involved."
455603,"You wanna shoot somebody, I volunteer this guy.","if you want to shake somebody, here's your volunteer."
297923,Shaithis was as cold as ice.,Shaithis was cold.
25105,I hate this place.,I kind of hate it here.
113189,no more killing people just to make their daughter a miserable orphan who fits into a fairy tale.,No more getting people killed so their daughters are ready to be in a story.
255519,So I'm going to need you guys to fuck off like good little Children.,so I'm gonna need you guys to be a little good kids.
277736,She looks like a bloody Rhinemaiden.,she looks like a mermaid.
154129,"A Polish prisoner of war, who fled from the camp. 0h, they are all swines.",a Polish captive who ran away from the camp.
441268,'rubbish! 'Said the abbot.,'Nonsense!' snapped the Abbot.
244835,I want my plane back and I want to know who did it so I could kill him.,"I want to know who did this, so I 'm can be murder."
52856,"""I tell you,"" one of them was saying, ""I do not trust the black one.","""I'm telling you,"" one of them said, ""I don't believe the worm."
417209,"Look here, you vanilla motherfucker, when you're upstate taking it in the culo, by a bunch of guys calling you Shirley, you'il only have yourself and Governor Rockefeller to thank.","when you're a little girl long after midnight, talk to a bunch of guys called Shirleys, then you'll only have yourself and Guverner Rockefeller to thank him for the honor."
454484,"Well, your intelligence is just a little flawed in this matter.",your intelligence is a little too much in the area.
18345,"oh, shit.","Oh, hell."
442722,"Get the fuck out of here, Hank, before Becca comes home.","get out of here before Becca comes back, I want to see her."
42075,"and if the cameras were working, that means you fucked up.","If the cameras doing, means that That you it have messed up."
540917,What's the matter with your fucking gun?,what happened to your gun?
221128,"three well-dressed, lightly beheaded Mexicans.","Three well-dressed, slightly toasted Mexicans."
420626,all that crap about God and the sinners in her head screwed her up more than anything else.,All that God and Sinner stuff's done more to damage her mind than anything.
272548,"Yeah, the dirty trash song.","yeah, the dirty ""waste"" song."
66782,I understand shit like this 'cause I ain't a homo.,"I know that, 'cause I'm not gay."
87152,Max Bialystock may be the biggest selfish person I've ever met.,Max Bialystock is the most... ...selfish man I ever met in my life.
463238,What the fuck do they want here?,what do you kids want?
424791,You're a stalker.,you're a tracker.
424825,kill Lexi?,Terminate Lexi?
525693,"then you say, ""I knew my homosexual son","So, you can say like, ""Because I knew my gay son"
405979,"You scums know how that would feel, don't you?","you don't even know what it's like, do you?"
265803,"you better get naked, Georgette Hamilton.","You better put on some sunscreen, Georgette Hamilton."
441609,"The kind of people that would hang Charlie from a tree, kidnap children.",people who would hang Charlie on a tree kidnapped the kids.
236630,"shut up, Dr. Banks.","Stop talking, Dr. Banks."
381555,Does this dress make my butt look fat?,doesn't this outfit make me fat?
191475,"""do I just know this is a ridiculous idea?",“You’d have me just know that the notion is absurd?
530827,"“Feel like I just chopped two cord of wood and shit m’brains out while I was doin it,” the older man gasped.","""I feel like I'm just cutting two saws of wood, and my brain's blown out,"" the older man breathed."
714,"she certainly does, because she's ugly, like you.",Her definitely...because she's Fuglyjust like you
435409,What's the difference between rj and dick clark?,what's the difference between RJEM and Dick Clark?
380015,Goddamn it! Just put down the phone so I can think!,put down the phone so I can think!
43206,I've been feeding his fat-ass fetish for years.,Been feeding his Pillsbury Dough girl fetish for years.
259215,I'm a kind of messenger... fucking Western Union from beyond the grave.,"I'm sort of a messenger, I'm an envoy from beyond the grave."
509479,"I could sling fifty cents of nickels outside this car and hit ten fighters, ain't one that can fuck with Hammerman.","I could throw 50 cents out of the car and hit 10 fighters, but none of them will catch Hammerman."
1243,"And your radio, idiot ?",and our radio?
461210,Papo's dead because of this Yankee.,dad's dead because of this greenback.
569539,"Ries, fuck.","Ries, dude."
6344,"God damn it, do you want so much?","Hell, you want that much?"
148646,"I mean, not that I'm dating two guys anyway, at primary school, one nun told me that if I kissed two boys in one day, their saliva would mix in my mouth and kill me.","I mean, not that I would date two guys At the same time anyway, because in grade school, This nun told me if I kiss two boys in the same day,"
297616,I couldn't stayin that fucking truck anymore.,I couldn't stand it anymore.
476711,"""With respect, Pilot,"" van Nekk said carefully, bringing into the open what was foremost in their minds, ""you were most unwise to attack the priest in front of the rotten yellow bastard.""","""with all due respect, Pilot,"" van nekk said cautiously, ""it wasn't very wise to go to the priest in front of that yellow goblin."""
48174,"Damn, you do start fast, don't you?","you're going fast, aren't you?"
426208,"your nav threw up on you, and then you fucked up your car?","one groom-to-be throwing up on you, and your car breaking down."
145747,Spaniards,Spaniard.
350570,you're a gene pirate.,You're a DNA hacker.
311510,back to the farm and to the stupid woman?,Back to the farm and a dull wife?
443714,"son of a bitch, this Chili Palmer.","Sneaky, that Chili Palmer."
139546,old pervert.,The old perv.
53974,You must think that the whole world is queer.,you have to think the whole world is weird.
503185,"Are you out of your mind, Pearson?","you made that up, Pearson?"
33773,"Where my money at, fool?",where's my money?
317139,"bullshit, he thought.","Nah, he thought."
469986,"with the exception of the tail and the oil-rich, green piece, and the ugly, purple piece of shit that nobody knows what it is!","Except for the tail and the green wobbly bit and that nasty purple lump, no-one knows what it is!"
125492,"""Pardon our spiff, it'll just take a jiff."" It's dumb.","""excuse our improvements, it's just going to be a moment."""
354475,he deserves a shot like a man.,She deserves a drink like any man.
220323,"the doctor offended that he was comparing himself to him..... .So pathetic, like the Tooth Fairy.",The Doctor was offended a bottom-feeding lowlife like... the Tooth Fairy would consider himself in the same league.
571409,I was gonna say pathetic.,I was going to say crazy.
191979,"Gigi, you're going to drive us crazy.","Gigi, you'll drive us wild"
240395,it's impossible to kill me.,No one can kill me.
342202,"shit, you took the seat, right?","Hell, you're picking your seat, aren't you?"
151596,"So fucking hot. I heard about your little ordeal with, uh, Psycho Mike.",I heard about your problem with Psycho Mike.
264361,"Get lost, fuck off !","get out, get out!"
132517,"I'm a communist, and I'll be on my way to death.","I'm a communist and I will die a communist,"
35101,So fill the container with rats.,so they put the rats in the container.
423659,"you don't give a shit, man.","You don't give a damn about no melons, man."
335638,"'If you want, I will destroy him for you, 'said Wan, glancing nervously over his shoulder at the machine.","""I could destroy it for you, if you like,"" Wan boasted, glancing nervously over his shoulder at the machine."
86136,the clown?... can't be a full man.,A jester?! ...isn't a full man.
18857,It's all garbage. - I heard you.,"all right, I heard you."
114762,"The devastating impact of the duo can also be seen with their hit song... ...""Shut Your Fucking Face, Uncle Fucker. ""","the influence of this Canadian duo is evident in their new songs, ""Hold your hold, Uncle Domar."""
521205,It's a soulless world full of bad people who screw you at every turn.,it's a heartless world full of bad people who will ever cheat you.
534376,"It's called habeas corpus, motherfucker.",it's called habeas corpus.
231081,most of them are blessed with the ignorant countless ways their bodies are exposed to our eyes.,Most ofthem are blessedlyunaware ofthe countless ways... in which their bodies are exposed to our eyes.
459980,Your Dad has made his decision and... - Fuck you!,your dad made a decision and.
38565,I am going to shoot that bus!,I'll take the bus!
